h_471	h_472	h_499	h_501	w_473	w_477	w_498	w_502
9130213A22Rik	0.0748030062055496	0.913155440595646	0.668168759482471	0.531778799033034	0.549200724136664	0.659496531200864	0.576751261626965	0.308442963374847
9330161L09Rik	0.355145804237159	0.0578057558190877	0.0622018965283982	0.0561055910090909	0.115887400048057	0.231935049678249	0.228189125283341	0.244068230778595
9430097D07Rik	0.196974604948324	0.307783877752265	0.124196591536049	0.858852874494258	0.231388766118605	0.694646246388119	0.911236253796368	0.852816024900756
9830107B12Rik	0	0	0	0	0	0	0	0
9930104L06Rik	4.34142206104187	4.63239844151305	4.58338332260903	4.26753389994912	4.42702079296431	4.82386667946973	5.65640664158336	4.93118207736066
9930111J21Rik1	0.120800360378931	0.0117973340272255	0.0634726196444023	0.0916028362297558	0.0591274324044989	0.130170289117174	0.0582127007553775	0.0373581454363355
9930111J21Rik2	0.168538624499036	0.156364693060012	0.0797003351413465	0.143778072898029	0.156737832429255	0.123825948390643	0.129947804564947	0.138990544419448
a	0	0	0	0	0	0	0	0
A1bg	0	0	0	0	0	0	0	0
A1cf	0	0	0	0	0	0	0	0
A230072I06Rik	0	0	0	0	0	0	0	0
A2m	0.181284710273232	0.19313695673334	0.173187554715356	0.499883927920462	0.306529924792665	0.145298775895843	0.174719223643997	0.288810671914219
A3galt2	0.129788798080524	0.202802282926317	0	0.0246046907015284	0.304929357281849	0.0254283488398343	0.1751236340108	0.0267585779793477
A4galt	0.621988217540486	0.586486253816294	0.49585537972475	0.528576939017093	0.671869496687755	0.693344467060466	0.454764290485789	0.508519744160299
A4gnt	0.0618209894464056	0.0301871145129475	0.0324828513496445	0.205094823798522	0.0302591512409851	0.0908402174445519	0.0893730800410578	0.095592327188114
A530064D06Rik	0	0.0180462343947715	0	0	0	0	0	0
A530084C06Rik	1.93715893220268	1.18239045993589	1.52677382387887	1.42304180832149	0.758535709405463	1.4232378048438	1.77365183742961	1.84715274657437
A730015C16Rik	9.91887862285587	6.83040269565543	6.9489550986177	6.26789944460269	4.73044890389713	6.85143618525342	5.51518393930786	9.17617816040168
A730061H03Rik	0.0732282060749064	0	0.115429773309975	0.104116691179099	0.286740588601879	0.179336776028305	0.14115228245081	0
A730071L15Rik	1.44223844891432	0.938991057939328	1.51560230809439	2.05059092992982	0.941231810146413	1.4128238696864	1.50583951730425	2.60178222230901
A930002H24Rik	0	0	0	0.0751333584692786	0.0775948476193089	0	0	0
A930003A15Rik	0.010735616631352	0.0419375091236519	0	0.0814081124445633	0	0.0105166627917833	0.0206936216555971	0.0221336385755098
Aaas	4.22716889669463	4.76883235937428	5.4378615269467	5.38848791611797	4.35213369239639	4.56933011592908	3.91017628783851	4.9085390159585
Aacs	14.3484356202733	12.9942317418655	13.8200953769769	13.3076341929933	12.6660538004843	13.0909989649715	13.8846226627948	14.1938788289184
Aadac	0	0	0	0	0	0	0	0
Aadacl2	0	0	0	0	0	0	0	0
Aadacl3	0	0	0	0	0	0	0	0
Aadacl4	0	0	0	0	0	0	0	0
Aadat	0.010251694938538	0.0100117805241451	0	0	0.0301070161185876	0	0	0.0105679682102902
Aaed1	15.5913863569155	17.4822895699348	14.3819410427277	16.2018043786643	14.9236715522824	15.7259438151227	15.4163035438921	12.9769695887265
Aagab	23.3620817934722	25.1296372487041	24.5739586332461	26.2976980732853	23.3731522699572	24.1777163090682	24.4982593961921	25.1659721646706
Aak1	396.034197745329	387.876578790342	374.12508454395	381.070170090982	390.257891193269	391.041850446553	392.397994581243	397.566839006406
Aamdc	2.71604977185215	3.46730411667779	3.20865430101519	2.8605261246094	3.09326467297292	3.16496298877213	3.19939170380943	3.80632136069842
