Gene	Direction
392	Spred1	Downreg
393	Src	Downreg
394	St8sia3	Upreg
395	St8sia4	Upreg
396	Stab1	Upreg
397	Stac2	Upreg
398	Stc1	Upreg
399	Stox1	Downreg
400	Stxbp5	Upreg
401	Sulf1	Upreg
402	Susd2	Upreg
403	Susd5	Downreg
404	Susd6	Upreg
405	Synj2	Downreg
406	Syt17	Downreg
407	Tcap	Downreg
408	Tcf20	Downreg
409	Tdg	Downreg
410	Thra	Upreg
411	Thsd7a	Downreg
412	Tinf2	Downreg
413	Tmem120b	Upreg
414	Tmem132b	Downreg
415	Tmem144	Downreg
416	Tmem161b	Downreg
417	Tmem178b	Downreg
418	Tmem44	Downreg
419	Tmem60	Downreg
420	Tmem8b	Downreg
421	Tmub1	Upreg
422	Tnc	Upreg
423	Tnfrsf19	Downreg
424	Tnnc1	Downreg
425	Tomm5	Downreg
426	Top3b	Downreg
427	Tpt1	Downreg
428	Tradd	Upreg
429	Trim2	Upreg
430	Trim24	Downreg
431	Trmt5	Upreg
432	Trpc3	Downreg
433	Trps1	Downreg
434	Tspan11	Downreg
435	Tssc4	Upreg
436	Ttc3	Downreg
437	Ttl	Downreg
438	Tuba8	Downreg
439	Txn1	Upreg
440	Uck1	Downreg
441	Ucp2	Upreg
442	Unc93b1	Upreg
443	Usp27x	Downreg
444	Vps54	Downreg
445	Vstm2b	Upreg
446	Was	Upreg
447	Wbscr17	Downreg
448	Wdfy4	Upreg
449	Wdyhv1	Downreg
450	Wfs1	Upreg
451	Whrn	Downreg
452	Wnt7b	Upreg
453	Wnt9a	Downreg
454	Wrnip1	Upreg
455	Wsb2	Downreg
456	Xiap	Downreg
457	Ypel4	Downreg
458	Zbtb4	Downreg
459	Zc3h18	Downreg
460	Zcchc24	Downreg
461	Zdhhc17	Upreg
462	Zdhhc8	Downreg
463	Zeb1	Downreg
464	Zfp397	Downreg
465	Zfp418	Upreg
466	Zfp518a	Downreg
467	Zfp641	Downreg
468	Zfp658	Upreg
469	Zfp738	Downreg
470	Zfp768	Downreg
471	Zfp811	Upreg
472	Zfp874a	Downreg
473	Zfp930	Downreg
474	Zfp952	Upreg
475	Znrf2	Upreg
476	Zswim3	Upreg
477	Abcd2	All
478	Abhd14a	All
479	Abhd15	All
480	AC074312.5	All
481	AC121838.2	All
482	AC124566.2	All
483	AC153919.1	All
484	Acacb	All
485	Acbd4	All
486	Ace	All
487	Actg1	All
488	Actl6b	All
489	Adam33	All
490	Adamts2	All
491	Adgra3	All
492	Adgrd1	All
493	Adipor2	All
494	Adk	All
495	Adprm	All
496	Adra1b	All
497	Adra2c	All
498	Aff1	All
499	Aldh1a7	All
500	Alox12b	All
501	Amacr	All
502	Amz1	All
503	Ankrd35	All
504	Ankrd40	All
505	Ankrd6	All
506	Ap2a1	All
507	Ap2b1	All
508	Arhgap22	All
509	Arhgap35	All
510	Arhgap44	All
511	Armcx4	All
512	Arpp21	All
513	Asah2	All
514	Astn2	All
515	Atf7ip	All
516	Atox1	All
517	Atp1a1	All
518	Atp9b	All
519	AW011738	All
520	B3galt2	All
521	B3gat1	All
522	B3glct	All
523	B4galt2	All
524	Baz2b	All
525	Bms1	All
526	Btbd9	All
527	C1qa	All
528	C1qb	All
529	C1qc	All
530	C2cd4c	All
531	C4b	All
532	Caln1	All
