Estimate	Pval	FDR
Abcf1	-0.000702643120827148	0.982837531598743	0.999560212462957
Abcf2	0.0223992045434386	0.54309398045086	0.924399006548564
Abcf3	0.0501106383097519	0.516575582252895	0.912907075055357
Abcg1	-0.065352217172479	0.510797971522315	0.910902447678728
Abcg2	0.0656521574096359	0.577883664156082	0.9361350075703
Abcg4	0.0205209112195144	0.8362139586704	0.984029686277922
Abhd10	-0.0254387199996856	0.863859526117766	0.986106313258111
Abhd11	0.031019451520018	0.53894817951456	0.921781870823592
Abhd12	-0.0390241479971968	0.510640391570143	0.910902447678728
Abhd13	0.0593282684758514	0.229347852976927	0.734986616092639
Abhd14a	0.215936405255547	5.93084692468437e-10	2.3702342758037e-07
Abhd14b	0.136097093832297	0.158125092915177	0.660627117676892
Abhd15	0.476821793380899	9.7111246576409e-05	0.00514150099929543
Abhd16a	0.00712108136432378	0.93589437249877	0.994265837439901
Abhd17a	0.00838031727297003	0.849726081762801	0.986012019945966
Abhd17b	0.0152495388277448	0.808710215972435	0.980184140730502
Abhd17c	0.0202946614408011	0.837824208089102	0.984029686277922
Abhd2	-0.0554150061761483	0.150598289424809	0.6469355782538
Abhd3	-0.0381022437142754	0.775229095342962	0.976368658026687
Abhd4	0.0282061397943748	0.543901325004307	0.924505505772272
Abhd5	-0.0744279029187356	0.215382322507864	0.722894827377035
Abhd6	-0.0685265740398931	0.144207979464049	0.635623423420892
Abhd8	-0.0457802136956479	0.280698606681863	0.784041492392303
Abi1	-0.00972113389773799	0.827916701679827	0.981255143701461
Abi2	-0.0412229393788543	0.239777146506524	0.744324497135888
Abi3	0.0638311143425794	0.229685348266559	0.735454453099767
Abi3bp	0.237823161182722	0.35736169969424	0.838368096123809
Abl1	0.0815306775467239	0.235284711179884	0.740840032347049
Abl2	0.00140988677334056	0.973883876449944	0.998720153991374
Ablim1	0.0106994747216067	0.910184923869949	0.990883891956524
Ablim2	0.0654088928612667	0.204242051923114	0.712666635316059
Ablim3	-0.0253650200241288	0.725463988466308	0.966838822243818
Abr	-0.0397066558645082	0.0363525015636323	0.326355899907131
Abracl	0.205616143465637	0.217267019004029	0.725016122650402
Abt1	0.0298882621279509	0.775887336773643	0.976368658026687
Abtb1	-0.0193185235351653	0.667897087367689	0.955765855511182
Abtb2	0.00185233111379376	0.984345229624642	0.999560212462957
AC074312.5	-0.267777486910274	5.19421110789509e-07	7.66084302568003e-05
AC090443.3	-0.134063505672266	0.256358839198447	0.761661183046743
AC099860.1	-0.00898903537922028	0.823065118932941	0.980352974154106
AC101869.3	0.308521146875801	0.0272571665034786	0.279543903817547
AC102077.1	0.132583549880016	0.404830268937234	0.862797557519937
AC102096.1	0.075420321434079	0.386522476930649	0.853283493708804
AC102506.1	-0.281757198341286	0.00708457942836183	0.118289561371933
AC102628.1	0.0120550601619447	0.932463703730038	0.994124729992627
AC103620.3	0.0536439204047881	0.235311260083772	0.740840032347049
AC103635.1	0.137347648007521	0.00669072632759127	0.113942721254606
AC104325.1	0.0926383783335083	0.0394875835000899	0.339966415554283
AC109152.2	-0.0594871125926809	0.599185750305387	0.940021018653251
AC109227.1	0.127803215465791	0.380817200642329	0.851325074054437
AC110508.1	-0.188903853603439	0.199228472449458	0.708474931315142
AC113182.4	0.0399739653503779	0.720920483245538	0.966007875566014
AC114558.6	-0.232427856060541	0.214462687160045	0.72239756150783
AC114920.2	0.0905077445417756	0.145085642256593	0.636581504669804
AC116475.2	-0.045529380744288	0.771128810252921	0.975262299174157
AC121113.1	0.0508336557996054	0.588681483539657	0.937184469792047
AC121838.2	0.166788547015189	0.00114521390345357	0.0342706643717059
AC121847.1	0.424486251458422	0.170617677627613	0.676888748969925
AC122462.1	0.112234788192858	0.2934447254844	0.794147198526889
AC123679.2	0.0759262645643403	0.717379023495896	0.965317362961169
AC123684.1	0.154261241219505	0.254003789730299	0.761553295057731
AC123686.4	0.0382156398328787	0.410944914426397	0.867768287852163
AC124566.2	-0.090421673300351	0.000728383720478787	0.0242767408438363
AC124713.2	0.0344596548510809	0.702115391927313	0.962374450024589
AC125061.1	0.115725597347233	0.297008094016757	0.796975557746962
AC126938.1	-0.0341236140899303	0.372327103046536	0.84789388258688
AC127333.1	-0.046739189730505	0.582133967685541	0.936192918289668
AC127339.2	0.150274776484485	0.292616270700115	0.794103005272882
AC129188.1	0.072216658683075	0.0639126538825037	0.445356425333358
AC129337.1	0.0054749452401051	0.966170984935762	0.997924470510794
AC130827.2	0.0977307212794927	0.0761021171100349	0.48300672585872
AC131065.2	-0.0939003134468272	0.045589885050882	0.369167733747535
AC131992.1	-0.129175703679769	0.129702697057112	0.609361666226983
AC132242.1	0.00176833160607333	0.989770528869198	0.999560212462957
AC132303.1	-0.0089979486048369	0.93352250346678	0.994265837439901
AC139063.2	-0.250023492272474	0.0324261428733221	0.307366093387596
AC140321.1	0.0524047158479051	0.286400549624657	0.787631471350293
AC152939.2	0.0222652691346221	0.761721207382495	0.973083526321069
AC153919.1	-0.341609805405073	0.000772467524562837	0.0252509239097862
AC155158.1	-0.0734891991105364	0.187871558580299	0.697895730442677
AC155937.2	0.0190553095928808	0.870524188999798	0.986106313258111
AC157555.1	-0.0672676835806147	0.413445030276494	0.868861778108543
AC157561.9	0.0352682679389302	0.658780605899723	0.95332235508827
AC157667.1	0.0154307233718518	0.805748591179792	0.980184140730502
AC157774.6	-0.0468678547086837	0.544811908103303	0.924505505772272
AC158971.1	0.000166499350401298	0.998447100601247	0.9998353335986
AC159257.5	-0.0052883135369134	0.927475012706364	0.994124729992627
AC160535.1	0.0623038424973329	0.395207478910461	0.860188961815956
AC161108.3	0.152177383498589	0.431998154165126	0.876375492377886
AC161207.1	0.0750028703735529	0.306081403202781	0.804645035915447
AC161792.1	-0.120348408303151	0.0800736691653487	0.496003649624489
AC162528.2	0.059579140555625	0.330932850430027	0.822948029702449
AC163329.3	0.00023601001280857	0.998044960276897	0.9998353335986
AC163442.1	0.113215627686392	0.00866578254183881	0.134368435432842
AC163616.2	-0.00026740789019611	0.996866502697273	0.999560212462957
AC163993.2	0.0082871650469165	0.934966797090284	0.994265837439901
AC164564.3	0.0512037986743307	0.6698071473318	0.95631154162123
AC164703.3	0.0109688193108058	0.895330659539775	0.989192994823347
AC165086.3	-0.0519540509366015	0.232615399072146	0.739474962962492
AC166328.1	-0.0155012130890291	0.855537695441823	0.986106313258111
AC166332.1	-0.0324839924434945	0.473436450506067	0.895787204903246
AC167815.1	-0.0427360710269477	0.430393425118771	0.875786757468957
AC168051.1	0.0485060137447759	0.736218320578552	0.969530320731735
Acaa1a	-0.059636438610199	0.276926224481026	0.78129376688025
Acaa2	-0.101103459240948	0.318654975439906	0.814654661726164
Acaca	-0.0618598214351943	0.215470200203323	0.722894827377035
